customer_id,customer_name,address,postal_code,latitude,longitude,tw_start,tw_end,ppl,ppl_freeze,volume_m3,weight_kg,vehicle_type,tour_id,service_time_min
5550,Spar Hovdebygda,Spar Hovdebygda,,62.1827871,6.0843433,16:15,18:15,3.0,0.5,2967.73,0.0,1,5502,15.4
1090,Spar Langevåg,Spar Langevåg,,62.4421478,6.1903413,12:10,14:10,1.0,0.0,1336.61,0.0,1,5401,13.1
8697,Spar Spjelkavik,Spjelkavikvegen 61,6010.0,62.4622693,6.3640886,17:25,19:25,13.116,1.0,14269.03,0.0,1,5402,19.0
6600,Spar Straumane,Spar Straumane,,62.3160888,5.84408243,15:45,17:45,5.5,1.0,5721.95,0.0,1,5702,18.7
6780,Spar Svingen,Spar Svingen,,62.3115806,6.9180612,09:10,11:10,1.5,0.0,1553.82,0.0,1,5601,14.0
7010,Spar Søvik,Spar Søvik,,62.55002608867628,6.2785674595363865,09:45,11:45,9.5,1.0,9741.25,0.0,1,5151,16.3
6320,Spar Tresfjord,Spar Tresfjord,,62.522493,7.128342,08:35,10:35,5.0,1.0,5436.43,0.0,1,5651,21.9
7765,Spar Ulsteinvik,Spar Ulsteinvik,,62.34250319341053,5.868374140191933,15:05,17:05,2.0,0.0,1921.93,0.0,1,5702,17.4
4245,Spar Valldal,Spar Valldal,,62.29798,7.26419,09:00,11:00,8.58,1.0,10599.24,0.0,1,5201,30.1
7450,Spar Vartdal,Spar Vartdal,,62.30123195547483,6.08305688251696,15:15,17:15,1.0,0.0,929.08,0.0,1,5502,14.7
5540,Spar Volda,Spar Volda,,62.14941,6.08458,09:35,11:35,5.0,1.0,5221.63,0.0,1,5501,14.5
4225,Spar Åse,Øvre Geilegrend 1,6017.0,62.4643885,6.3172074,15:10,17:10,8.2,2.0,9925.0,0.0,1,5054,16.3
7627,Sperre Industri Kantine,Ulsteinvik,6065.0,62.49446178528838,6.314794782529193,08:10,10:10,2.0,0.5,1262.67,0.0,1,5151,6.9
8479,Spisestua Kafe Og Restaurant,Ålesund,6002.0,62.466442,6.351237,08:40,10:40,0.5,0.0,300.0,0.0,1,5101,6.1
9159,Sportsparken Vegsund,BLINDHEIM INDUSTRIVEG 2D,6020.0,62.436635,6.370523,16:35,18:35,0.5,0.0,121.4,0.0,1,5402,5.6
5892,Ssp Aksla Int A331 Aes,Ålesund lufthavn,6040.0,62.55831,6.11555,08:30,10:30,0.5,0.0,300.0,0.0,1,5751,6.1
5888,Ssp O'learys A327 Aes,Ålesund lufthavn,6040.0,62.55831,6.11555,08:30,10:30,1.0,0.5,251.9,0.0,1,5751,5.8
5894,Ssp Point Dom A328 Aes,Ålesund lufthavn,6040.0,62.55831,6.11555,08:30,10:30,1.0,0.0,747.4,0.0,1,5751,7.2
5895,Ssp Prod.kjøkken Y018 Aes,Ålesund lufthavn,6040.0,62.55831,6.11555,08:30,10:30,0.5,0.0,473.8,0.0,1,5751,6.2
5887,Ssp Upper Crust A326 Aes,Ålesund lufthavn,6040.0,62.55831,6.11555,08:30,10:30,0.5,0.0,69.3,0.0,1,5751,5.5
1699,St1 Ulsteinvik 9109,St1 Ulsteinvik,,62.344673,5.839305,08:45,10:45,1.0,0.0,611.3,0.0,1,5701,8.1
1696,St1 Ørskog 9415,St1 Ørskog,,62.482459,6.812361,07:40,09:40,2.5,1.0,1984.1,0.0,1,5651,7.1
6538,Storfjord Gastropub,Storfjord Gastropub,,62.3083019,6.9482056,10:05,12:05,1.5,0.5,498.58,0.0,1,5601,7.4
6457,Strandafjellet Rest.drift As,Strandafjellet,6200.0,62.29042,6.83993,08:45,10:45,4.5,1.0,3712.7,0.0,1,5601,13.1
6764,Stryn Bensinstasjon Esso,Stryn,6783.0,61.90294,6.71741,07:55,09:55,2.5,0.5,1950.79,0.0,1,5551,9.7
