algorithm,instance,run,best_cost,iteration_found_best
DRLH,RC1_6_8.TXT,8,18074.07,4993
DRLH,RC1_6_8.TXT,9,18141.97,5000
DRLH,RC1_6_8.TXT,10,18001.01,4995
DRLH,RC1_6_9.TXT,1,17718.69,4999
DRLH,RC1_6_9.TXT,2,17726.66,4998
DRLH,RC1_6_9.TXT,3,17809.32,4999
DRLH,RC1_6_9.TXT,4,17900.61,4998
DRLH,RC1_6_9.TXT,5,17813.12,4998
DRLH,RC1_6_9.TXT,6,17777.42,4999
DRLH,RC1_6_9.TXT,7,17913.28,4989
DRLH,RC1_6_9.TXT,8,17960.69,4995
DRLH,RC1_6_9.TXT,9,18073.72,4998
DRLH,RC1_6_9.TXT,10,17645.14,4961
