Kundenr,Alle kunder,Antall leveranser,Antall min. per lev.,Minutter pr M3
2936,KIWI 843 VOLDA ,309,24.045307443365697,1.5535724569058604
2935,KIWI 844 SYKKYLVEN ,302,24.50662251655629,2.5373154038762276
9093,KIWI 849 SKARBØVIK ,301,24.877076411960132,2.1507109491272693
2931,KIWI 901 NØRVE ,302,23.37748344370861,1.5234869991661653
2932,KIWI 902 SPJELKAVIK ,301,30.162790697674417,2.248098212044332
2914,KIWI 903 MÅLØY ,200,25.235,3.4044914544431366
2920,KIWI 905 EGGESBØNES ,259,23.27799227799228,2.205351754793709
2927,KIWI 906 DEKNEPOLLEN ,250,28.22,2.7775133026942576
2908,KIWI 908 KLOKKERSUND ,296,22.93918918918919,1.9557984706543114
2939,KIWI 909 FLISNES ,296,27.43918918918919,1.8641045861179804
2942,KIWI 910 KVERVE ,302,16.251655629139073,1.9318586306002787
2946,KIWI 911 FISKARSTRAND ,302,15.599337748344372,2.3892681842974257
2948,KIWI 912 STRANDA ,298,18.87248322147651,2.5833387302176343
2950,KIWI 913 STRYN ,302,30.721854304635762,2.525303133204675
2928,KIWI 914 ULSTEINVIK ,303,42.00990099009901,2.406787756358136
2953,KIWI 915 VALDERØY ,303,22.02970297029703,2.2237573792015515
2955,KIWI 916 KREMMERGAARDEN ,258,31.344961240310077,3.589223136285902
2957,KIWI 917 MYRVÅG ,296,29.30743243243243,2.0110001872513568
2959,KIWI 918 LANGEVÅG ,307,21.5114006514658,2.1442440923315393
2956,KIWI 919 NEDRE STRANDGATE ,257,18.19066147859922,2.6379866190936014
2947,KIWI 920 BREIVIKA ,307,25.635179153094462,1.9207208063470023
2930,KIWI 921 VESTNES ,252,28.3015873015873,2.5290446164462708
2963,KIWI 922 NORDFJORDEID ,296,21.385135135135137,2.0870906873083728
2940,KIWI 923 HATLANE ,302,18.897350993377483,2.121104993195627
2961,KIWI 924 VALLEKRYSSET ,260,15.757692307692308,1.9422481404182905
2985,KJELDSUND ,20,14.0,13.827993587761833
8358,KK MAT AS ,55,5.636363636363637,6.733918967060275
7927,KLIPRA KAFE ,42,4.214285714285714,23.868215089027096
9321,KOIWA RAMEN ,21,4.238095238095238,10.798480932794622
8410,KOIWA SUSHI ,19,3.736842105263158,8.604600431441934
6642,KOKARSTEINEN ,23,3.739130434782609,6.9533719811450405
7908,KOLVIKBAKKEN U.SKOLE KANTINE ,29,2.586206896551724,7.265118712039755
7903,KOLVIKBAKKEN U.SKOLE MAT/HELSE ,12,3.4166666666666665,31.140817256569953
6440,KOMMUNEHUSET STORDAL ,4,2.75,36.96236559139785
3567,KONTORPUNKT ,30,7.5,2.1244639387353694
